Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,K_VRH
4.666666666666667,73.83333333333333,9.000511313333332,226.73000000000002,3.0,1.6666666666666667,68.5,1.89,1.1666666666666667,0.16666666666666666,0.0,0.0,1.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,0.0,1.6666666666666667,12.03055555555,5.235333333333333,0.0,205.0,19.0
8.857142857142858,71.28571428571429,17.73117142857143,213.32857142857142,13.142857142857142,2.2857142857142856,86.0,2.7485714285714287,2.0,2.5714285714285716,0.0,0.0,4.571428571428571,0.0,2.5714285714285716,0.0,0.0,2.5714285714285716,18.05464285714286,5.517428571428572,0.0,198.42857142857142,45.0
24.8,64.5,59.1125623,195.487,11.8,3.2,110.3,2.806,1.7,3.1,1.0,1.4,7.2,0.3,1.1,0.0,0.0,1.4,33.32783333333,1.182,0.0,97.1,29.0
17.428571428571427,63.42857142857143,38.1426,176.06857142857143,11.714285714285714,3.0,115.57142857142857,2.5685714285714285,1.7142857142857142,2.857142857142857,0.0,0.0,4.571428571428571,0.2857142857142857,1.4285714285714286,0.0,0.0,1.7142857142857142,34.807410714285716,0.31457142857142856,0.0,82.28571428571429,25.0
7.714285714285714,62.57142857142857,15.706371428571428,216.42000000000002,11.714285714285714,2.142857142857143,89.28571428571429,2.6142857142857143,1.7142857142857142,2.857142857142857,0.0,0.0,4.571428571428571,0.2857142857142857,1.4285714285714286,0.0,0.0,1.7142857142857142,13.627648809514286,0.31457142857142856,0.0,82.28571428571429,42.0
13.6,49.4,28.683619999999998,318.5,9.2,2.8,117.0,2.066,1.6,1.6,2.0,0.0,5.2,0.4,0.8,0.0,0.0,1.2,24.374000000000002,0.0,0.0,135.2,58.0
11.777777777777779,68.77777777777777,27.45679761777778,318.5777777777778,2.0,2.0,72.66666666666667,1.9266666666666667,1.0,0.0,1.0,1.5555555555555556,3.5555555555555554,1.0,0.0,0.1111111111111111,0.0,1.1111111111111112,12.577407407399999,5.235333333333333,0.0,205.22222222222223,23.0
7.5,84.75,14.99706965,264.27,11.5,2.0,71.0,2.6725000000000003,1.75,2.25,0.0,0.0,4.0,0.25,2.25,0.0,0.0,2.5,10.32625,1.96325,0.0,110.75,114.0
16.4,62.0,36.285383347999996,283.579,11.2,2.9,108.7,2.8,1.7,3.0,0.5,0.0,5.2,0.3,0.6,0.5,0.0,1.4,27.942091954019997,1.182,3.10120689655e-05,99.4,17.0
19.6,58.1,44.774700428,310.90500000000003,10.8,3.1,116.6,2.775,1.7,3.0,0.1,0.0,4.8,0.3,0.6,0.9,0.0,1.8,34.125333333330005,1.182,6.350000000000001e-07,97.1,19.0
25.8,57.4,62.997593856,289.654,10.4,3.2,110.2,2.5060000000000002,1.8,2.4,0.0,1.2,5.4,0.2,1.2,0.0,1.6,3.0,14.927666666659999,0.0,0.0636007275,55.2,73.0
36.0,89.0,86.81093333333332,256.93333333333334,16.0,3.6666666666666665,105.33333333333333,2.873333333333333,2.0,4.0,3.3333333333333335,4.666666666666667,14.0,0.0,2.0,0.0,0.0,2.0,22.18416666666667,0.831,0.0,29.333333333333332,26.0
45.0,84.5,111.6908516,315.25,15.0,4.0,101.0,2.8,2.0,3.0,5.0,7.0,17.0,0.0,3.0,0.0,0.0,3.0,18.30875,0.985,0.0,104.5,4.0
29.0,83.5,67.3547,279.94,15.0,3.5,102.5,2.7,2.0,3.0,5.0,0.0,10.0,0.0,3.0,0.0,0.0,3.0,21.195,0.0,0.0,76.5,34.0
14.0,49.2,32.12107999999999,307.712,9.2,2.6,107.4,2.0,1.6,1.6,2.0,0.0,5.2,0.4,2.0,0.0,0.0,2.4,19.201833333319996,2.5748,0.0,197.4,114.0
28.285714285714285,61.285714285714285,65.1934,257.06857142857143,11.142857142857142,3.7142857142857144,130.85714285714286,2.2685714285714282,1.7142857142857142,2.2857142857142856,2.857142857142857,0.0,6.857142857142857,0.2857142857142857,2.0,0.0,0.0,2.2857142857142856,39.332857142857144,0.0,0.0,110.85714285714286,24.0
11.6,37.4,24.084341568,267.802,7.2,2.8,133.2,1.8780000000000001,1.4,1.8,0.0,0.0,3.2,0.6,0.6,0.0,0.0,1.2,24.266499999980002,0.4986,0.0,152.6,37.0
4.666666666666667,29.666666666666668,9.960466666666667,320.72666666666663,6.0,2.0,107.33333333333333,1.8,1.3333333333333333,1.3333333333333333,0.0,0.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333,14.097222222199997,0.0,0.0,156.66666666666666,78.0
